year,technology,capacity_GW_low,capacity_GW_mid,capacity_GW_high,source,scenario,notes,url
2031,battery_storage,,25.5,,CCC_7CB,Balanced Pathway,Linear interpolation between CCC 7CB / Clean Power 2030 anchor at 2030 (25 GW) and 2040 (30 GW). Interpolated linearly between Clean Power 2030 25 GW and CCC 35 GW 2050 mid-point.,https://www.theccc.org.uk/publication/the-seventh-carbon-budget/
2031,battery_storage,23.0,25.0,27.0,DESNZ_CP30_ActionPlan,"CP30 anchor (2030 value, held at 2031)",Clean Power 2030 Action Plan is a 2030 milestone plan; no native 2031-2035 figures. Row carries the CP30 2030 range forward as a floor for 2031. Range 23-27 GW by 2030 per Clean Power 2030 Action Plan.,https://www.gov.uk/government/publications/clean-power-2030-action-plan
2031,battery_storage,,27.27,,NESO_FES_2025,Electric Engagement,,https://www.neso.energy/data-portal/future-energy-scenario-fes-building-block-data/fes_2025_building_blocks
2031,battery_storage,,20.43,,NESO_FES_2025,Falling Behind,,https://www.neso.energy/data-portal/future-energy-scenario-fes-building-block-data/fes_2025_building_blocks
2031,battery_storage,,24.38,,NESO_FES_2025,Holistic Transition,,https://www.neso.energy/data-portal/future-energy-scenario-fes-building-block-data/fes_2025_building_blocks
2031,battery_storage,,21.08,,NESO_FES_2025,Hydrogen Evolution,,https://www.neso.energy/data-portal/future-energy-scenario-fes-building-block-data/fes_2025_building_blocks
2032,battery_storage,,26.0,,CCC_7CB,Balanced Pathway,Linear interpolation between CCC 7CB / Clean Power 2030 anchor at 2030 (25 GW) and 2040 (30 GW). Interpolated linearly between Clean Power 2030 25 GW and CCC 35 GW 2050 mid-point.,https://www.theccc.org.uk/publication/the-seventh-carbon-budget/
2032,battery_storage,,28.6,,NESO_FES_2025,Electric Engagement,,https://www.neso.energy/data-portal/future-energy-scenario-fes-building-block-data/fes_2025_building_blocks
2032,battery_storage,,20.86,,NESO_FES_2025,Falling Behind,,https://www.neso.energy/data-portal/future-energy-scenario-fes-building-block-data/fes_2025_building_blocks
2032,battery_storage,,26.04,,NESO_FES_2025,Holistic Transition,,https://www.neso.energy/data-portal/future-energy-scenario-fes-building-block-data/fes_2025_building_blocks
2032,battery_storage,,21.83,,NESO_FES_2025,Hydrogen Evolution,,https://www.neso.energy/data-portal/future-energy-scenario-fes-building-block-data/fes_2025_building_blocks
2033,battery_storage,,26.5,,CCC_7CB,Balanced Pathway,Linear interpolation between CCC 7CB / Clean Power 2030 anchor at 2030 (25 GW) and 2040 (30 GW). Interpolated linearly between Clean Power 2030 25 GW and CCC 35 GW 2050 mid-point.,https://www.theccc.org.uk/publication/the-seventh-carbon-budget/
2033,battery_storage,,30.08,,NESO_FES_2025,Electric Engagement,,https://www.neso.energy/data-portal/future-energy-scenario-fes-building-block-data/fes_2025_building_blocks
2033,battery_storage,,21.19,,NESO_FES_2025,Falling Behind,,https://www.neso.energy/data-portal/future-energy-scenario-fes-building-block-data/fes_2025_building_blocks
2033,battery_storage,,27.12,,NESO_FES_2025,Holistic Transition,,https://www.neso.energy/data-portal/future-energy-scenario-fes-building-block-data/fes_2025_building_blocks
2033,battery_storage,,22.89,,NESO_FES_2025,Hydrogen Evolution,,https://www.neso.energy/data-portal/future-energy-scenario-fes-building-block-data/fes_2025_building_blocks
2034,battery_storage,,27.0,,CCC_7CB,Balanced Pathway,Linear interpolation between CCC 7CB / Clean Power 2030 anchor at 2030 (25 GW) and 2040 (30 GW). Interpolated linearly between Clean Power 2030 25 GW and CCC 35 GW 2050 mid-point.,https://www.theccc.org.uk/publication/the-seventh-carbon-budget/
2034,battery_storage,,31.37,,NESO_FES_2025,Electric Engagement,,https://www.neso.energy/data-portal/future-energy-scenario-fes-building-block-data/fes_2025_building_blocks
2034,battery_storage,,22.3,,NESO_FES_2025,Falling Behind,,https://www.neso.energy/data-portal/future-energy-scenario-fes-building-block-data/fes_2025_building_blocks
2034,battery_storage,,28.55,,NESO_FES_2025,Holistic Transition,,https://www.neso.energy/data-portal/future-energy-scenario-fes-building-block-data/fes_2025_building_blocks
2034,battery_storage,,23.34,,NESO_FES_2025,Hydrogen Evolution,,https://www.neso.energy/data-portal/future-energy-scenario-fes-building-block-data/fes_2025_building_blocks
2035,battery_storage,,27.5,,CCC_7CB,Balanced Pathway,Linear interpolation between CCC 7CB / Clean Power 2030 anchor at 2030 (25 GW) and 2040 (30 GW). Interpolated linearly between Clean Power 2030 25 GW and CCC 35 GW 2050 mid-point.,https://www.theccc.org.uk/publication/the-seventh-carbon-budget/
2035,battery_storage,,32.6,,NESO_FES_2025,Electric Engagement,,https://www.neso.energy/data-portal/future-energy-scenario-fes-building-block-data/fes_2025_building_blocks
2035,battery_storage,,22.66,,NESO_FES_2025,Falling Behind,,https://www.neso.energy/data-portal/future-energy-scenario-fes-building-block-data/fes_2025_building_blocks
2035,battery_storage,,29.84,,NESO_FES_2025,Holistic Transition,,https://www.neso.energy/data-portal/future-energy-scenario-fes-building-block-data/fes_2025_building_blocks
2035,battery_storage,,24.76,,NESO_FES_2025,Hydrogen Evolution,,https://www.neso.energy/data-portal/future-energy-scenario-fes-building-block-data/fes_2025_building_blocks
2031,floating_offshore_wind,,0.0,,NESO_FES_2025,Electric Engagement,PROXY: FES 2025 does not separately publish floating offshore wind; this is Gen_BB024 'Offshore Wind (off-grid)' which is the closest available split — likely understates total floating capacity.,https://www.neso.energy/data-portal/future-energy-scenario-fes-building-block-data/fes_2025_building_blocks
2031,floating_offshore_wind,,0.0,,NESO_FES_2025,Falling Behind,PROXY: FES 2025 does not separately publish floating offshore wind; this is Gen_BB024 'Offshore Wind (off-grid)' which is the closest available split — likely understates total floating capacity.,https://www.neso.energy/data-portal/future-energy-scenario-fes-building-block-data/fes_2025_building_blocks
2031,floating_offshore_wind,,0.12,,NESO_FES_2025,Holistic Transition,PROXY: FES 2025 does not separately publish floating offshore wind; this is Gen_BB024 'Offshore Wind (off-grid)' which is the closest available split — likely understates total floating capacity.,https://www.neso.energy/data-portal/future-energy-scenario-fes-building-block-data/fes_2025_building_blocks
2031,floating_offshore_wind,,0.01,,NESO_FES_2025,Hydrogen Evolution,PROXY: FES 2025 does not separately publish floating offshore wind; this is Gen_BB024 'Offshore Wind (off-grid)' which is the closest available split — likely understates total floating capacity.,https://www.neso.energy/data-portal/future-energy-scenario-fes-building-block-data/fes_2025_building_blocks
2032,floating_offshore_wind,,0.0,,NESO_FES_2025,Electric Engagement,PROXY: FES 2025 does not separately publish floating offshore wind; this is Gen_BB024 'Offshore Wind (off-grid)' which is the closest available split — likely understates total floating capacity.,https://www.neso.energy/data-portal/future-energy-scenario-fes-building-block-data/fes_2025_building_blocks
2032,floating_offshore_wind,,0.0,,NESO_FES_2025,Falling Behind,PROXY: FES 2025 does not separately publish floating offshore wind; this is Gen_BB024 'Offshore Wind (off-grid)' which is the closest available split — likely understates total floating capacity.,https://www.neso.energy/data-portal/future-energy-scenario-fes-building-block-data/fes_2025_building_blocks
2032,floating_offshore_wind,,0.12,,NESO_FES_2025,Holistic Transition,PROXY: FES 2025 does not separately publish floating offshore wind; this is Gen_BB024 'Offshore Wind (off-grid)' which is the closest available split — likely understates total floating capacity.,https://www.neso.energy/data-portal/future-energy-scenario-fes-building-block-data/fes_2025_building_blocks
2032,floating_offshore_wind,,0.01,,NESO_FES_2025,Hydrogen Evolution,PROXY: FES 2025 does not separately publish floating offshore wind; this is Gen_BB024 'Offshore Wind (off-grid)' which is the closest available split — likely understates total floating capacity.,https://www.neso.energy/data-portal/future-energy-scenario-fes-building-block-data/fes_2025_building_blocks
2033,floating_offshore_wind,,0.0,,NESO_FES_2025,Electric Engagement,PROXY: FES 2025 does not separately publish floating offshore wind; this is Gen_BB024 'Offshore Wind (off-grid)' which is the closest available split — likely understates total floating capacity.,https://www.neso.energy/data-portal/future-energy-scenario-fes-building-block-data/fes_2025_building_blocks
2033,floating_offshore_wind,,0.0,,NESO_FES_2025,Falling Behind,PROXY: FES 2025 does not separately publish floating offshore wind; this is Gen_BB024 'Offshore Wind (off-grid)' which is the closest available split — likely understates total floating capacity.,https://www.neso.energy/data-portal/future-energy-scenario-fes-building-block-data/fes_2025_building_blocks
2033,floating_offshore_wind,,0.12,,NESO_FES_2025,Holistic Transition,PROXY: FES 2025 does not separately publish floating offshore wind; this is Gen_BB024 'Offshore Wind (off-grid)' which is the closest available split — likely understates total floating capacity.,https://www.neso.energy/data-portal/future-energy-scenario-fes-building-block-data/fes_2025_building_blocks
2033,floating_offshore_wind,,0.01,,NESO_FES_2025,Hydrogen Evolution,PROXY: FES 2025 does not separately publish floating offshore wind; this is Gen_BB024 'Offshore Wind (off-grid)' which is the closest available split — likely understates total floating capacity.,https://www.neso.energy/data-portal/future-energy-scenario-fes-building-block-data/fes_2025_building_blocks
2034,floating_offshore_wind,,0.0,,NESO_FES_2025,Electric Engagement,PROXY: FES 2025 does not separately publish floating offshore wind; this is Gen_BB024 'Offshore Wind (off-grid)' which is the closest available split — likely understates total floating capacity.,https://www.neso.energy/data-portal/future-energy-scenario-fes-building-block-data/fes_2025_building_blocks
2034,floating_offshore_wind,,0.0,,NESO_FES_2025,Falling Behind,PROXY: FES 2025 does not separately publish floating offshore wind; this is Gen_BB024 'Offshore Wind (off-grid)' which is the closest available split — likely understates total floating capacity.,https://www.neso.energy/data-portal/future-energy-scenario-fes-building-block-data/fes_2025_building_blocks
2034,floating_offshore_wind,,0.12,,NESO_FES_2025,Holistic Transition,PROXY: FES 2025 does not separately publish floating offshore wind; this is Gen_BB024 'Offshore Wind (off-grid)' which is the closest available split — likely understates total floating capacity.,https://www.neso.energy/data-portal/future-energy-scenario-fes-building-block-data/fes_2025_building_blocks
2034,floating_offshore_wind,,0.01,,NESO_FES_2025,Hydrogen Evolution,PROXY: FES 2025 does not separately publish floating offshore wind; this is Gen_BB024 'Offshore Wind (off-grid)' which is the closest available split — likely understates total floating capacity.,https://www.neso.energy/data-portal/future-energy-scenario-fes-building-block-data/fes_2025_building_blocks
2035,floating_offshore_wind,,0.01,,NESO_FES_2025,Electric Engagement,PROXY: FES 2025 does not separately publish floating offshore wind; this is Gen_BB024 'Offshore Wind (off-grid)' which is the closest available split — likely understates total floating capacity.,https://www.neso.energy/data-portal/future-energy-scenario-fes-building-block-data/fes_2025_building_blocks
2035,floating_offshore_wind,,0.0,,NESO_FES_2025,Falling Behind,PROXY: FES 2025 does not separately publish floating offshore wind; this is Gen_BB024 'Offshore Wind (off-grid)' which is the closest available split — likely understates total floating capacity.,https://www.neso.energy/data-portal/future-energy-scenario-fes-building-block-data/fes_2025_building_blocks
2035,floating_offshore_wind,,0.12,,NESO_FES_2025,Holistic Transition,PROXY: FES 2025 does not separately publish floating offshore wind; this is Gen_BB024 'Offshore Wind (off-grid)' which is the closest available split — likely understates total floating capacity.,https://www.neso.energy/data-portal/future-energy-scenario-fes-building-block-data/fes_2025_building_blocks
2035,floating_offshore_wind,,0.32,,NESO_FES_2025,Hydrogen Evolution,PROXY: FES 2025 does not separately publish floating offshore wind; this is Gen_BB024 'Offshore Wind (off-grid)' which is the closest available split — likely understates total floating capacity.,https://www.neso.energy/data-portal/future-energy-scenario-fes-building-block-data/fes_2025_building_blocks
